기관명,주소,응급실전화,입원실가용여부,병상수,응급실가능여부,경도,위도,응급실,입원실,수술실,지역(시),지역(구)
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),02-958-8114,1,874,Y         ,127.05183223390303,37.5938765502235,21,604,16,서울특별시,동대문구
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),02-2030-5555,1,854,Y         ,127.0721229093036,37.54084479467721,27,729,18,서울특별시,광진구
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),02-6299-1338,1,797,N         ,126.96079378447554,37.50707428493414,25,685,14,서울특별시,동작구
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),02-709-9117,1,690,N1        ,127.00441798640304,37.53384172231443,28,664,13,서울특별시,용산구
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),02-2650-5911,1,653,Y         ,126.8862159683056,37.53654282637804,28,520,13,서울특별시,양천구
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),02-2001-1000,1,720,N         ,126.96793805451702,37.568497631233825,13,559,12,서울특별시,종로구
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),02-2227-7777,1,2173,Y         ,126.94082769649863,37.56211711412639,41,2183,36,서울특별시,서대문구
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",02-920-5374,1,970,N1        ,127.02647086385966,37.58715608002366,32,837,22,서울특별시,성북구
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3333,1,2432,N1        ,127.10823825113607,37.526563966361216,109,2422,73,서울특별시,송파구
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2060,1,1973,Y         ,127.08668245340024,37.48851613490445,71,1749,56,서울특별시,강남구
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",02-3779-1188,1,531,N1        ,126.93673129599131,37.51827233800711,20,351,10,서울특별시,영등포구
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),02-2258-2370,1,1259,Y         ,127.00472725970137,37.501800804785276,38,1172,30,서울특별시,서초구
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8284,1,794,N1        ,127.04488284061982,37.559944533564746,32,684,16,서울특별시,성동구
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 &#40;구로동&#41;",02-2626-1550,1,985,N1        ,126.8847449363546,37.49211114525054,37,894,20,서울특별시,구로구
연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3333,1,766,N1        ,127.04631254186797,37.492806984645476,28,730,23,서울특별시,강남구
인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",02-950-1119,1,514,N         ,127.06311619032102,37.6485812672986,23,537,13,서울특별시,노원구
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),02-2072-2475,1,1791,N1        ,126.99896308412191,37.57966608924356,41,1497,42,서울특별시,종로구
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",02-2600-0777,1,260,N         ,126.8636640030062,37.52844147447355,11,231,4,서울특별시,양천구
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 &#40;쌍문동&#41;",02-901-3119,1,381,N         ,127.02902417950423,37.64611570419094,20,345,8,서울특별시,도봉구
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),02-2210-3566,1,418,N         ,127.0653288266823,37.587992001305395,21,406,5,서울특별시,동대문구
서울특별시 동부병원,서울특별시 동대문구 무학로 124 (용두동),02-920-9119,1,201,,127.03140257525507,37.57539886464885,10,192,3,서울특별시,동대문구
의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),02-383-0129,1,200,N         ,126.91955399169245,37.62079154435882,10,194,3,서울특별시,은평구
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",02-829-7800,1,225,N         ,126.89925446922592,37.4938507104387,10,234,3,서울특별시,영등포구
의료법인동신의료재단동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",02-396-9161,1,205,,126.93658306608872,37.58110428173239,10,196,4,서울특별시,서대문구
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 &#40;고척동&#41;",02-2067-1515,1,202,N         ,126.86636039556485,37.49964578669388,10,202,3,서울특별시,구로구
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",02-970-2620,1,483,N         ,127.08269315796588,37.628815981330355,12,450,10,서울특별시,노원구
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2358,1,619,N1        ,127.13526354631517,37.53598408220376,22,569,12,서울특별시,강동구
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",02-2002-8888,1,292,N         ,126.96699861289684,37.56715536263689,10,278,6,서울특별시,종로구
